ColumnName,DataType
GEP_DIVERSITY_VETERAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_VIETNAM_VETERAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_OTHER_VETERAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_WOMAN_OWNED_BUSINESS_ENTERPRISE_INDICATOR,nvarchar
GEP_DIVERSITY_WOMAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_AFRICAN_AMERICAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_ASIAN_PACIFIC_AMERICAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_HISPANIC_AMERICAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_NATIVE_AMERICAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_SUBCONTINENT_ASIAN_AMERICAN_OWNED_INDICATOR,nvarchar
GEP_OTHER_DIVERSITY,nvarchar
SOURCEFILENAME,nvarchar
GEP_YEAR,int
GEP_QTR,nvarchar
GEP_MONTH,nvarchar
GEP_FISCAL_ID,nvarchar
GEP_FISCAL_YEAR,nvarchar
GEP_FISCAL_QTR,nvarchar
GEP_FISCAL_MONTH,nvarchar
CARD_HOLDER_ID,nvarchar
CARD_HOLDER_NAME,nvarchar
MERCHANT_CATEGORY_CODE,nvarchar
MERCHANT_CATEGORY_CODE_TITLE,nvarchar
MERCHANT_CATEGORY_GROUP_CODE,nvarchar
MERCHANT_CATEGORY_GROUP_TITLE,nvarchar
EXPENSE_TYPE,nvarchar
SIC_CODE,nvarchar
SIC_TITLE,nvarchar
NAICS_CODE,nvarchar
NAICS_TITLE,nvarchar
PROJECT_CODE,nvarchar
PROJECT_NAME,nvarchar
PROJECT_DESC,nvarchar
WORK_ORDER_NUMBER,nvarchar
WORK_ORDER_DESC,nvarchar
WBS_CODE,nvarchar
WBS_DESC,nvarchar
PRODUCT,nvarchar
PRODUCT_CATEGORY,nvarchar
GEP_CONSOLIDATION_DESCRIPTION,nvarchar
REQUISITION_SOURCE_SYSTEM,nvarchar
REQUISITION_NUMBER,nvarchar
REQUISITION_LINE_NUMBER,nvarchar
REQUISITION_SUPPLIER_NUMBER,nvarchar
REQUISITION_SUPPLIER_NAME,nvarchar
REQUISITION_CREATION_DATE,date
REQUISITION_APPROVED_DATE,date
REQUISITION_OWNER,nvarchar
REQUISITION_AMOUNT,float
REQUISITION_LINE_DESCRIPTION,nvarchar
GR_SOURCE_SYSTEM,nvarchar
GR_NUMBER,nvarchar
GR_LINE_NUMBER,nvarchar
GR_SUPPLIER_NUMBER,nvarchar
GR_SUPPLIER_NAME,nvarchar
GR_DATE,date
GR_LINE_AMOUNT,float
GR_UNIT_PRICE,float
GR_QUANTITY,float
GR_UOM,nvarchar
IMPORTEXPORTUID1,bigint
IMPORTEXPORTUID2,bigint
IMPORTEXPORTUID3,bigint
IMPORTEXPORTUID4,bigint
IMPORTEXPORTUID5,bigint
IMPORTEXPORTUID6,bigint
IMPORTEXPORTUID7,bigint
IMPORTEXPORTUID8,bigint
IMPORTEXPORTUID9,bigint
IMPORTEXPORTUID10,bigint
GEP_AI_SOURCE_VNE,nvarchar
GEP_AI_SOURCE_UP,nvarchar
GEP_AI_DL_CATEGORY_L5,nvarchar
GEP_AI_DL_CATEGORY_L6,nvarchar
GEP_AI_DL_CATEGORY_L7,nvarchar
GEP_NORM_SPEND_AED,float
GEP_NORM_SPEND_INR,float
